,M_value,Rule_num
0,0.0,1
1,14.264736605836477,2
2,30.090483190755997,3
3,78.29403557203351,4
4,78.29403557203351,5
5,136.47531038500057,6
6,136.47531038500057,7
7,136.47531038500057,9
8,136.47531038500057,11
9,136.47531038500057,12
10,136.47531038500057,13
11,177.8983447780711,14
12,192.8009579177026,15
13,192.8009579177026,18
14,192.8009579177026,20
15,192.8009579177026,21
16,192.8009579177026,23
17,206.4664044432023,24
18,206.4664044432023,25
19,206.4664044432023,28
20,206.4664044432023,30
21,206.4664044432023,35
22,206.4664044432023,39
23,206.4664044432023,44
