,M_value,Rule_num
0,0.0,1
1,59.98867294012338,2
2,161.0086928526299,3
3,259.9211487827973,4
4,286.3825606344201,5
5,346.9734523422668,6
6,346.9734523422668,7
7,423.4327048783473,8
8,455.5849135530846,9
9,455.5849135530846,10
10,540.4612838195667,11
11,540.4612838195667,12
12,569.6568094060116,13
13,569.6568094060116,14
14,772.4035431177691,15
15,772.4035431177691,16
16,842.3754648544248,17
17,842.3754648544248,18
18,860.4065778051286,19
19,868.4308036300935,20
20,868.4308036300935,21
21,975.9437908924192,22
22,975.9437908924192,24
23,975.9437908924192,26
24,975.9437908924192,30
25,975.9437908924192,33
26,975.9437908924192,34
27,980.1188852877099,35
28,980.1188852877099,36
29,1047.4105750923454,37
30,1062.7114027161872,38
31,1062.7114027161872,40
32,1062.7114027161872,41
33,1062.7114027161872,42
34,1062.7114027161872,43
35,1062.7114027161872,45
36,1062.7114027161872,47
37,1062.7114027161872,49
38,1062.7114027161872,51
39,1062.7114027161872,53
40,1062.7114027161872,56
41,1062.7114027161872,57
42,1075.470462933457,58
43,1075.470462933457,59
44,1076.7150572690075,60
45,1132.2337336393102,61
46,1158.9936028460256,62
47,1177.5358534628947,63
48,1177.5358534628947,64
49,1177.5358534628947,65
50,1177.5358534628947,68
51,1177.5358534628947,70
52,1177.5358534628947,71
53,1177.5358534628947,72
54,1211.192907277354,73
55,1211.192907277354,75
56,1275.6606632052476,76
57,1288.8479419497812,77
58,1331.5685640750564,78
59,1331.5685640750564,79
60,1382.7403684035799,80
61,1385.9031269643335,81
62,1385.9031269643335,82
63,1385.9031269643335,83
64,1385.9031269643335,85
65,1385.9031269643335,88
66,1385.9031269643335,92
67,1385.9031269643335,97
68,1385.9031269643335,101
69,1385.9031269643335,107
70,1385.9031269643335,113
71,1385.9031269643335,116
72,1385.9031269643335,119
73,1385.9031269643335,120
74,1385.9031269643335,121
75,1397.039637798157,122
76,1397.039637798157,123
77,1466.660822058143,124
78,1494.077557809127,125
79,1494.077557809127,126
80,1512.2482299098724,127
81,1512.2482299098724,128
82,1518.112616526244,129
83,1528.0638419371076,130
84,1528.0638419371076,131
85,1528.0638419371076,132
86,1528.0638419371076,133
87,1528.0638419371076,136
88,1528.0638419371076,137
89,1528.0638419371076,138
90,1528.0638419371076,140
91,1528.0638419371076,144
92,1528.0638419371076,146
93,1528.0638419371076,147
94,1538.0481725199675,148
95,1552.5080540318472,149
96,1552.7722338622839,150
97,1552.7722338622839,153
98,1552.7722338622839,158
99,1552.7722338622839,166
