,M_value,Rule_num
0,0.0,1
1,48.31541706465204,2
2,116.34223744995343,3
3,231.87976973880552,4
4,237.9436606538799,5
5,237.9436606538799,6
6,315.6777877079204,7
7,374.67245347626914,8
8,411.5381932150868,9
9,434.52925646392947,10
10,468.9139629527863,11
11,477.50418896962174,12
12,581.2831953310871,13
13,581.2831953310871,15
14,581.2831953310871,16
15,711.3697769763057,17
16,755.7697103798913,18
17,773.934593166168,19
18,800.9227565206558,20
19,850.2299429787823,21
20,927.9817587251711,22
21,931.3179154002272,23
22,1066.1144884257533,24
23,1066.1144884257533,26
24,1066.1144884257533,27
25,1093.6473001118745,28
26,1145.37742204964,29
27,1156.8374642935858,30
28,1162.5946151170224,31
29,1180.1640566931135,32
30,1180.1640566931135,33
31,1195.757019943588,34
32,1195.757019943588,35
33,1219.8571816789006,36
34,1313.089153837207,37
35,1313.089153837207,38
36,1313.1417103828107,39
37,1327.432578973109,40
38,1342.6375548194817,41
39,1344.3746636786504,42
40,1344.3746636786504,43
41,1362.965714878415,44
42,1381.0465610650017,45
43,1397.9536539617736,46
44,1465.9744537883212,47
45,1465.9744537883212,48
46,1472.8541729096057,49
47,1472.8541729096057,50
48,1476.6290606759972,51
49,1476.6290606759972,53
50,1476.6290606759972,54
51,1478.2771883406742,55
52,1529.9434359617342,56
53,1610.986461010712,57
54,1610.986461010712,58
55,1610.986461010712,59
56,1610.986461010712,60
57,1674.0097753594205,61
58,1676.8550696755974,62
59,1692.1692131087807,63
60,1692.1692131087807,64
61,1879.0940722400055,65
62,1902.9649444846432,66
63,1911.5382537222386,67
64,1922.9554765638968,68
65,1922.9554765638968,70
66,1922.9554765638968,73
67,1922.9554765638968,75
68,1981.248007365003,76
69,1981.248007365003,78
70,1981.248007365003,79
71,1993.5320029007785,80
72,2044.5084681849785,81
73,2046.6624998521306,82
74,2046.6624998521306,83
75,2081.4641918289403,84
76,2115.3277753815237,85
77,2115.3277753815237,86
78,2124.7959074304094,87
79,2124.7959074304094,89
80,2124.7959074304094,91
81,2124.7959074304094,92
82,2130.689761524278,93
83,2137.843030745963,94
84,2137.843030745963,95
85,2144.0744155979405,96
86,2173.064136435393,97
87,2187.8620630193845,98
88,2187.8620630193845,99
89,2187.8620630193845,100
90,2187.8620630193845,101
91,2187.8620630193845,102
92,2187.8620630193845,103
93,2201.189924469753,104
94,2235.9298251366326,105
95,2242.8900160039016,106
96,2272.2954479316345,107
97,2272.2954479316345,108
98,2272.2954479316345,111
99,2272.2954479316345,115
100,2272.2954479316345,119
101,2272.2954479316345,122
102,2272.2954479316345,125
103,2277.903324201822,126
104,2284.0056608601503,127
105,2295.3779906193927,128
106,2295.3779906193927,129
107,2297.269501563279,130
108,2297.269501563279,132
109,2297.269501563279,134
110,2297.269501563279,135
111,2353.8187865940477,136
112,2353.8187865940477,138
113,2353.8187865940477,141
114,2353.8187865940477,143
115,2353.8187865940477,146
116,2353.8187865940477,149
117,2353.8187865940477,151
118,2353.8187865940477,152
119,2353.8187865940477,154
120,2353.8187865940477,156
121,2353.8187865940477,160
122,2353.8187865940477,162
123,2353.8187865940477,164
124,2353.8187865940477,166
125,2382.8527470121753,167
126,2382.8527470121753,169
127,2382.8527470121753,171
128,2382.8527470121753,174
129,2382.8527470121753,176
130,2382.8527470121753,180
131,2382.8527470121753,185
132,2382.8527470121753,190
133,2382.8527470121753,194
134,2382.8527470121753,197
135,2382.8527470121753,201
136,2382.8527470121753,203
137,2382.8527470121753,204
138,2382.8527470121753,206
139,2382.8527470121753,208
140,2382.8527470121753,212
141,2382.8527470121753,216
142,2382.8527470121753,220
143,2382.8527470121753,223
144,2382.8527470121753,227
145,2382.8527470121753,231
146,2382.8527470121753,238
147,2382.8527470121753,247
148,2382.8527470121753,261
149,2382.8527470121753,277
150,2382.8527470121753,293
151,2382.8527470121753,312
152,2382.8527470121753,343
153,2382.8527470121753,386
154,2382.8527470121753,446
155,2382.8527470121753,501
