,M_value,Rule_num
0,0.0,1
1,235.0349341511877,2
2,270.437766130623,3
3,530.6047808685462,4
4,530.6047808685462,5
5,530.6047808685462,6
6,608.5126302708818,7
7,608.5126302708818,8
8,637.4516484876459,9
9,1472.8524690099302,10
10,1472.8524690099302,11
11,1516.559403747061,12
12,1516.559403747061,13
13,1752.1924004341895,14
14,1752.1924004341895,15
15,1752.1924004341895,16
16,1864.3653311191242,17
17,1867.687478184191,18
18,1867.687478184191,19
19,1867.687478184191,20
20,1928.5223135041658,21
21,1936.2721730590677,22
22,1942.9263925621108,23
23,2565.2088269401743,24
24,2574.345522413229,25
25,2797.046016358871,26
26,2884.6931368866663,27
27,2884.6931368866663,28
28,3467.2126152136457,29
29,3467.2126152136457,31
30,3467.2126152136457,34
31,3467.2126152136457,37
32,3467.2126152136457,38
33,3467.2126152136457,39
34,3467.2126152136457,40
35,3519.3386407842213,41
36,3528.8008044335415,42
37,3575.6899150317004,43
38,3575.6899150317004,44
39,3637.9000357544705,45
40,3637.9000357544705,46
41,3652.6753285976506,47
42,3723.745374009696,48
43,3894.5116074965554,49
44,3894.5116074965554,51
45,3951.685977775595,52
46,4105.354181237299,53
47,4105.354181237299,55
48,4105.354181237299,57
49,4294.360901147944,58
50,4409.448430428686,59
51,4409.448430428686,61
52,4409.448430428686,63
53,4409.448430428686,65
54,4409.448430428686,69
55,4409.448430428686,76
56,4409.448430428686,85
57,4409.448430428686,95
58,4409.448430428686,100
59,4409.448430428686,106
60,4409.448430428686,111
61,4409.448430428686,120
62,4409.448430428686,129
63,4409.448430428686,137
64,4409.448430428686,142
65,4409.448430428686,143
66,4513.228204343142,144
67,4513.228204343142,145
68,4513.228204343142,146
69,4538.237616576105,147
70,4541.73332675999,148
71,4606.678011890149,149
72,4661.078955019067,150
73,4661.078955019067,151
74,4661.088316799158,152
75,4661.088316799158,154
76,4661.088316799158,155
77,4661.088316799158,156
78,4692.39521796091,157
79,4754.710749206539,158
80,4795.562952641227,159
81,4814.653764820892,160
82,4856.3952151020885,161
83,4870.930104555367,162
84,4873.133856840785,163
85,4873.133856840785,164
86,4873.133856840785,167
87,4873.133856840785,168
88,4873.133856840785,169
89,5113.46581605615,170
90,5113.46581605615,172
91,5113.46581605615,173
92,5113.46581605615,175
93,5113.46581605615,177
94,5113.46581605615,178
95,5113.46581605615,179
96,5149.516503777922,180
97,5149.516503777922,182
98,5149.516503777922,185
99,5149.516503777922,189
100,5149.516503777922,192
101,5149.516503777922,195
102,5149.516503777922,197
103,5149.516503777922,198
104,5166.114438362809,199
105,5166.114438362809,201
106,5166.114438362809,202
107,5196.891554228289,203
108,5244.049614304301,204
109,5244.049614304301,206
110,5244.049614304301,207
111,5283.369257145354,208
112,5322.928677003566,209
113,5322.928677003566,210
114,5322.928677003566,211
115,5322.928677003566,213
116,5322.928677003566,216
117,5322.928677003566,221
118,5322.928677003566,228
119,5322.928677003566,239
120,5322.928677003566,253
121,5322.928677003566,262
122,5322.928677003566,271
123,5322.928677003566,277
124,5322.928677003566,284
125,5322.928677003566,291
126,5322.928677003566,294
127,5322.928677003566,296
128,5322.928677003566,298
129,5322.928677003566,301
130,5322.928677003566,305
131,5322.928677003566,313
132,5322.928677003566,322
133,5322.928677003566,330
134,5322.928677003566,336
135,5322.928677003566,339
136,5322.928677003566,341
137,5322.928677003566,342
138,5340.339636645818,343
139,5424.327561512055,344
140,5453.991363194819,345
141,5453.991363194819,348
142,5453.991363194819,349
143,5472.277695365947,350
144,5497.408663211241,351
145,5497.408663211241,353
146,5497.408663211241,355
147,5497.408663211241,356
148,5517.135887032763,357
149,5517.135887032763,359
150,5517.135887032763,360
151,5517.135887032763,362
152,5526.405078014834,363
153,5538.457857321262,364
154,5540.724334271721,365
155,5540.724334271721,366
156,5540.724334271721,367
157,5540.724334271721,368
158,5562.460425674691,369
159,5563.646501812799,370
160,5563.646501812799,372
161,5574.23148470657,373
162,5574.23148470657,376
163,5574.23148470657,379
164,5574.23148470657,382
165,5574.23148470657,385
166,5609.496483366118,386
167,5609.496483366118,388
168,5609.496483366118,390
169,5609.496483366118,394
170,5609.496483366118,395
171,5629.568822586272,396
172,5694.473847683987,397
173,5694.473847683987,401
174,5694.473847683987,406
175,5694.473847683987,408
176,5694.473847683987,411
177,5694.473847683987,412
178,5694.473847683987,413
179,5697.630452586872,414
180,5697.630452586872,416
181,5697.630452586872,422
182,5697.630452586872,430
183,5697.630452586872,438
184,5697.630452586872,440
185,5697.630452586872,441
186,5697.630452586872,443
187,5697.630452586872,444
188,5698.518715372537,445
189,5698.518715372537,447
190,5698.518715372537,448
191,5774.106454909403,449
192,5777.924679774556,450
193,5777.924679774556,451
194,5777.924679774556,453
195,5777.924679774556,455
196,5777.924679774556,456
197,5777.924679774556,457
198,5794.5470941941,458
199,5799.951146730646,459
200,5803.593440157528,460
201,5803.593440157528,461
202,5843.463685491385,462
203,5843.463685491385,463
204,5873.6065200902485,464
205,5894.365475957893,465
206,5894.365475957893,467
207,5896.830839161376,468
208,5897.631655657886,469
209,5897.631655657886,471
210,5897.631655657886,473
211,5897.631655657886,474
212,5897.631655657886,476
213,5897.631655657886,479
214,5897.631655657886,484
215,5897.631655657886,493
216,5897.631655657886,501
217,5897.631655657886,515
218,5897.631655657886,525
219,5897.631655657886,534
220,5897.631655657886,541
221,5897.631655657886,547
222,5897.631655657886,555
223,5897.631655657886,561
224,5897.631655657886,564
225,5897.631655657886,567
226,5911.153233694657,568
227,5924.004125348098,569
228,5949.518562532889,570
229,5949.518562532889,572
230,5949.518562532889,575
231,5949.518562532889,578
232,5949.518562532889,582
233,5949.518562532889,587
234,5949.518562532889,591
235,5949.518562532889,597
236,5949.518562532889,603
237,5949.518562532889,608
238,5949.518562532889,611
239,5998.201618052645,612
240,5998.8500852024845,613
241,6006.342274501829,614
242,6034.133277660288,615
243,6034.133277660288,616
244,6034.133277660288,618
245,6034.133277660288,619
246,6034.133277660288,620
247,6047.27444623676,621
248,6047.27444623676,623
249,6047.27444623676,626
250,6047.27444623676,629
251,6047.27444623676,633
252,6047.27444623676,637
253,6047.27444623676,640
254,6047.27444623676,646
255,6047.27444623676,649
256,6047.27444623676,653
257,6047.27444623676,655
258,6047.27444623676,656
259,6048.134313281683,657
260,6048.134313281683,658
261,6048.134313281683,659
262,6048.134313281683,661
263,6048.134313281683,662
264,6048.134313281683,663
265,6074.934133006013,664
266,6129.229839112466,665
267,6145.313022047992,666
268,6148.653030259253,667
269,6148.653030259253,668
270,6148.653030259253,669
271,6169.977511925001,670
272,6169.977511925001,671
273,6170.37316459576,672
274,6197.181884788293,673
275,6203.0989944504245,674
276,6237.320262453292,675
277,6237.320262453292,678
278,6237.320262453292,683
279,6237.320262453292,694
280,6237.320262453292,707
281,6237.320262453292,723
282,6237.320262453292,743
283,6237.320262453292,772
284,6237.320262453292,801
285,6237.320262453292,828
286,6237.320262453292,844
287,6237.320262453292,855
288,6237.320262453292,866
289,6237.320262453292,873
290,6237.320262453292,882
291,6237.320262453292,897
292,6237.320262453292,907
293,6237.320262453292,916
294,6237.320262453292,924
295,6237.320262453292,933
296,6237.320262453292,942
297,6237.320262453292,952
298,6237.320262453292,964
299,6237.320262453292,971
300,6237.320262453292,974
301,6237.320262453292,976
302,6237.320262453292,980
303,6237.320262453292,982
304,6252.946688618327,983
305,6252.946688618327,984
306,6252.946688618327,985
307,6269.258591335176,986
308,6269.258591335176,988
309,6269.258591335176,989
