,M_value,Rule_num
0,0.0,1
1,140.90860439219512,2
2,140.90860439219512,4
3,159.94173352911005,5
4,231.68967977603103,6
5,237.37130859927962,7
6,261.47808332102363,8
7,310.1695548218686,9
8,329.71476888470283,10
9,387.3356351129094,11
10,397.462918714496,12
11,397.462918714496,13
12,414.6301203031997,14
13,414.6301203031997,16
14,414.6301203031997,18
15,414.6301203031997,19
16,418.0649214491973,20
17,418.0649214491973,21
18,418.0649214491973,23
19,426.8643934060776,24
20,426.8643934060776,25
21,443.36007535756505,26
22,524.1727940353185,27
23,589.1736252542122,28
24,591.124909582324,29
25,591.124909582324,30
26,644.6854485482253,31
27,644.6854485482253,32
28,644.6854485482253,33
29,644.6854485482253,35
30,666.9686692937545,36
31,783.9199469493309,37
32,830.3823714693536,38
33,842.4644704817046,39
34,842.4644704817046,41
35,842.4644704817046,42
36,842.4644704817046,44
37,842.4644704817046,46
38,905.3257366233879,47
39,905.3257366233879,48
40,905.3257366233879,49
41,952.2771728407333,50
42,972.4018213765567,51
43,972.4018213765567,53
44,1023.2944946145801,54
45,1023.2944946145801,55
46,1049.8056034244403,56
47,1049.8056034244403,57
48,1049.8056034244403,58
49,1051.5014920210167,59
50,1058.7307801836575,60
51,1094.5961693695804,61
52,1095.77400264103,62
53,1095.77400264103,63
54,1095.77400264103,64
55,1095.8548819670723,65
56,1095.8548819670723,66
57,1095.8548819670723,69
58,1097.7382725625325,70
59,1097.7382725625325,71
60,1097.7382725625325,72
61,1097.7382725625325,74
62,1097.7382725625325,76
63,1097.7382725625325,76
